stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
8991,180333,"Rua Jan Frederik de Jager, 220 - Cidade Industrial",714 - Vila Marisa (Sentido Caiuá) 716 - Frigorífico ( Moradias Bela Vista),-25.490052604285,-49.358347828836,,,0,,,
9031,105003,Terminal Caiuá - 719 - Fazendinha / Caiuá / Frigorífico - 714 - Vila Marisa,Terminal Caiuá 716 - Frigorífico 719 - Fazendinha / Caiuá / Frigorífico 714 - Vila Marisa.,-25.483793078751,-49.350222355819,,,0,14515,,
9119,180816,"Rua Adalberto Gilardi da Silva, 1 - Santa Quitéria",760 - Sta. Quitéria (Ponto Final) 779 - Vila Velha / Buriti (Ponto Final),-25.465207573167,-49.319647039287,,,0,,,
9182,180777,"Rua Nicolau Latchoc, 94 - Campo Comprido",761- V. Izabel (Ponto Final),-25.468565439436,-49.325582588326,,,0,,,
9206,180621,"Rua Alfredo José Pinto, 1048 - Fazendinha",762- V. Rosinha (Ponto Final),-25.476784628881,-49.326162198777,,,0,,,
9270,180779,"Rua Mário Zanlorenzi, 580 - Campo Comprido",776 - Carmela Dutra (Ponto Final).,-25.459322199956,-49.328926195701,,,0,,,
9385,180989,"Av. Pres. Arthur da S. Bernardes, 631 - Portão","Tubo Santa Quitéria (Av. Pres. Arthur da S. Bernardes, 631 ) 779 - Vila Velha / Buriti (Sentido Buriti)",-25.459154827989,-49.302285422073,,,0,14415,,
9397,180990,"Av. Pres. Arthur da S. Bernardes, 631 - Portão","Tubo Santa Quitéria (Av. Pres. Arthur da S. Bernardes, 631) 779 - Vila Velha / Buriti (Sentido Vila Velha)",-25.458990216184,-49.30234107791,,,0,14415,,
9412,180778,"Rua Aírton Greifo, 138- Campo Comprido",777 - V. Velha (Ponto Final) 779 - V. Velha / Buriti (Ponto Final - Vila Velha),-25.462360734113,-49.337683320867,,,0,,,
9578,190137,"Rua Magdalena Chagas Lima, 368- São Braz",811 - Saturno (Ponto Final),-25.4207379,-49.3459486,,,0,,,
9620,190069,"Rua Hermenegildo Luca, 4124 - São Braz",812 - Montana (Ponto Final) 876 - Savóia (Ponto Final).,-25.409245409007,-49.36080217424,,,0,,,
9761,180259,"Rua Soldado Agnaldo Gonçalves, 201 - Cidade Industrial",Ponto de Parada 823 - Augusta (Sentido Terminal Campo Comprido),-25.46315227081,-49.353401139253,,,0,,,
9844,180376,"Rua Ângelo Marqueto, 2318 - Cidade Industrial",825 - V.Marqueto (Ponto Final),-25.478555182551,-49.375604717791,,,0,,,
9899,105008,Terminal Caiuá - 826 - Campo Comprido / CIC - 732 Campo Comprido / Caiuá,Terminal Caiuá 732 Campo Comprido / Caiuá (Sentido Campo Comprido) 826 - Campo Comprido / CIC (Sentido Campo Comprido),-25.483566923709,-49.350309871164,,,0,14515,,
10005,190358,"Rua Casemiro Augusto Rodacki, 233 - Cidade Industrial",829 - Univ. Positivo (Sentido Circular e Ponto Final),-25.4444935,-49.3589673,,,0,,,
10070,180567,"Rua Elzira Alves Lourenço, 25 - Cidade Industrial",860 - V. Sandra (Ponto Final),-25.464068664938,-49.340141704299,,,0,,,
